data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,513,1,brown
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,518,1,dark
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,528,1,green
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,546,1,orange
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,550,1,red
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,563,1,white
51721,26,379,379,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,565,1,yellow
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",510,0,black
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",511,0,blue
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",513,0,brown
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,produces,518,1,dark
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",528,0,green
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",546,0,orange
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",550,0,red
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",563,0,white
51722,29,462,462,English,WS,Second,Other,Male,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",510,0,black
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",511,0,blue
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",513,0,brown
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",518,0,dark
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",528,0,green
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",546,0,orange
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",550,0,red
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",563,0,white
51723,22,208,208,English,WS,Third,Black,Female,,TRUE,FALSE,Marchman,Some College,"",565,0,yellow
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,produces,528,1,green
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,produces,546,1,orange
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51724,23,251,251,English,WS,Second,Hispanic,Female,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,produces,518,1,dark
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
